popularity,vote_count,release_year,cluster
46.713,3993,1964,2
54.26,10804,1998,1
17.888,623,1951,2
183.996,17846,2001,1
19.344,368,2011,0
26.893,504,1960,2
68.431,6887,2008,1
31.521,828,2014,0
17.037,488,1983,2
30.724,663,2000,0
16.261,461,1999,0
53.002,9066,1993,1
57.329,2997,1993,0
24.751,917,1940,2
26.087,563,2020,0
33.941,2824,1975,2
111.213,8057,2021,1
57.673,6057,2014,0
29.119,763,2012,0
24.194,1503,1972,2
57.759,301,2021,0
35.871,302,2001,0
28.258,2752,2013,0
28.332,1171,1934,2
34.675,1984,1957,2
59.131,3866,1989,2
27.583,3723,1968,2
13.477,521,1955,2
65.501,1083,1959,2
16.432,814,2017,0
10.999,345,1988,2
74.462,12558,2010,1
9.604,448,1981,2
56.125,1620,1976,2
20.621,912,1959,2
165.6,18677,2003,1
264.897,494,2023,1
25.125,612,1980,2
25.319,799,2020,0
62.141,5678,2009,0
31.164,1554,2002,0
44.978,3225,2004,0
30.98,778,2002,0
169.299,16422,2007,1
21.328,466,2021,0
17.374,324,1985,2
14.938,570,1973,2
91.7,5943,2001,0
159.616,757,2023,0
82.57,8001,2015,1
412.05,18638,2017,1
123.736,20047,2005,1
21.125,807,1975,2
30.984,578,1960,2
21.021,1293,2016,0
112.513,8687,2000,1
69.581,1003,2019,0
35.239,1784,2010,0
22.028,1088,2004,0
11.789,1154,2011,0
14.384,301,2004,0
41.387,1121,1932,2
47.955,9288,2007,1
50.073,2272,2006,0
150.307,477,2023,0
96.932,1256,2023,0
14.424,323,1971,2
44.509,5538,1975,2
31.917,367,2023,0
11.752,628,2000,0
9.651,339,2013,0
15.179,1340,2015,0
12.978,456,2015,0
132.585,19937,2003,1
12.657,943,2015,0
33.204,2402,2010,0
39.264,3129,1992,2
13.343,393,2003,0
106.543,6682,2005,1
33.777,3310,2018,0
21.912,843,2014,0
36.109,603,2009,0
38.043,5161,2009,0
23.484,611,1946,2
15.0,473,2019,0
1.645,368,2003,0
89.016,14214,2010,1
34.333,2168,1982,2
322.807,3227,2023,1
27.627,755,2020,0
140.669,1609,2022,0
71.585,6012,2022,0
540.623,11444,2021,1
44.051,10152,2012,1
41.415,371,2006,0
43.473,4713,1997,0
44.281,364,1964,2
35.342,472,2015,0
21.021,987,2009,0
28.024,811,2009,0
12.166,1837,1998,0
22.486,373,2021,0
45.493,976,1967,2
17.474,650,2018,0
322.212,7507,1976,1
32.647,3223,1992,2
91.755,3742,2015,0
125.244,10720,1988,1
38.824,2848,2013,0
25.688,1064,1962,2
79.781,2219,2023,0
17.743,570,2012,0
26.675,675,2000,0
21.899,866,2017,0
33.121,953,2008,0
57.163,639,2022,0
318.462,11979,2001,1
93.784,22053,2012,1
29.616,1947,2006,0
22.065,923,1993,2
96.884,5387,1987,2
59.349,1194,2022,0
56.108,2370,2022,0
104.496,317,2023,0
33.797,1383,1975,2
15.852,386,1985,2
54.963,1359,1958,2
50.739,2321,2003,0
49.722,1229,1987,2
22.592,1334,2015,0
30.595,1539,2012,0
17.222,1244,2013,0
109.686,1530,1956,2
24.289,464,2007,0
20.47,368,2017,0
92.219,2328,2022,0
12.789,450,1974,2
24.125,592,1993,2
42.53,2416,1990,2
60.087,4202,1979,2
26.943,466,1923,2
117.237,10181,2006,1
36.363,1673,1989,2
