popularity,vote_count
25.369,726
188.711,2569
55.203,6728
33.671,1279
48.025,1570
16.343,541
19.469,1041
12.809,393
71.779,4145
60.149,3927
45.492,1100
43.11,1551
61.776,11662
33.3,624
24.679,334
51.108,2365
28.94,1238
21.973,677
9.278,350
32.526,2021
23.602,586
17.997,347
27.926,694
49.595,3176
31.869,452
54.479,1230
53.45,6479
23.533,666
25.517,1026
33.113,401
23.418,1352
30.846,781
45.208,6077
39.559,1090
16.98,942
15.664,698
144.684,12784
17.022,464
34.912,1547
14.058,631
26.129,893
61.153,1715
19.905,433
49.99,4360
14.849,344
44.248,4029
114.69,15391
64.003,1524
69.381,1197
16.969,445
36.367,2934
63.188,751
14.267,713
16.436,374
26.131,1099
23.617,684
86.651,7607
23.026,385
26.664,439
53.197,497
22.048,613
46.525,637
65.941,4921
37.128,8684
22.767,1443
76.94,17874
32.549,633
24.981,395
41.21,514
26.813,1818
32.482,503
31.782,685
48.248,3491
22.182,469
16.68,906
22.569,3202
21.667,312
232.737,2813
71.683,3398
16.598,375
18.971,495
36.723,1840
55.905,2785
58.478,1958
43.532,8368
26.486,1457
37.592,761
38.197,2334
77.736,15121
15.871,1157
11.178,302
9.113,431
14.477,728
47.071,1934
51.771,367
239.549,4226
146.015,5822
345.629,16838
28.553,1026
9.443,694
38.245,3129
8.735,1085
70.687,7583
129.344,5895
91.867,709
110.84,3352
27.57,989
20.121,1059
10.187,309
14.191,890
22.058,336
39.251,1001
82.324,11943
34.193,656
148.03,8829
230.973,21164
41.745,472
34.518,730
36.539,3079
9.026,349
21.269,651
125.79,630
164.349,747
63.372,5135
30.295,1692
18.655,1173
35.925,2999
37.761,3986
37.598,1060
36.204,744
22.409,518
56.019,4869
44.485,1565
18.535,301
106.568,2899
38.349,1614
22.657,454
106.93,9227
16.636,382
37.795,363
32.64,601
26.635,1609
20.591,807
18.353,1783
69.952,1438
44.84,2254
78.969,18334
78.114,8852
16.32,524
88.59,12579
23.515,1261
22.585,1104
54.232,397
36.127,775
19.868,348
322.658,2666
58.401,4893
148.313,4461
31.764,669
29.39,840
24.432,1126
22.622,1152
23.193,1290
158.371,1141
15.052,437
14.336,461
66.099,6376
21.899,914
15.76,550
37.583,3450
84.976,2076
14.976,1058
40.511,1725
79.766,2622
19.05,1068
20.109,611
123.306,16351
54.14,7224
64.534,679
28.712,1126
30.165,736
11.445,336
13.623,428
53.56,1495
24.581,359
36.406,1366
49.216,3861
24.43,805
20.982,388
126.082,13785
52.234,2558
75.754,3419
27.516,1700
41.832,507
25.072,665
337.63,4863
16.912,323
253.961,10744
18.059,888
16.289,370
70.452,5901
126.997,3637
160.529,2997
69.829,3347
36.981,4553
26.936,2568
13.211,477
38.031,1860
50.277,3787
23.79,477
116.85,8584
154.748,3898
33.016,1620
41.098,3285
42.592,743
21.679,778
50.926,3098
9.569,484
57.439,1406
18.316,1342
27.051,462
117.037,1601
32.833,400
84.089,372
25.981,593
39.255,3603
55.721,4565
24.155,645
179.578,11242
16.382,526
11.983,404
209.667,1580
20.99,1381
10.83,332
62.273,5062
21.839,2111
29.992,1494
31.758,437
19.964,660
18.495,491
26.004,1091
18.963,627
70.605,4814
21.012,620
30.215,492
211.403,5526
83.461,4275
50.202,1601
54.847,8009
53.103,4191
12.409,408
40.459,1419
50.271,1675
44.288,2110
90.057,4292
4.117,12349
21.359,840
50.174,4719
14.153,437
24.214,755
28.773,1068
21.121,426
36.135,570
26.523,315
24.584,1233
20.842,1066
52.62,8900
53.302,547
33.977,1973
19.219,1123
32.527,524
37.139,356
11.361,340
87.485,8092
151.918,18363
84.274,893
51.495,2870
26.954,1017
53.371,727
21.915,520
84.563,6365
17.766,664
34.199,378
227.476,1671
22.1,469
21.293,1479
26.878,1016
62.676,5806
58.892,1014
22.123,359
29.392,1170
25.733,845
28.033,337
32.412,1077
15.478,358
32.767,398
51.089,717
74.291,4355
45.54,3084
36.874,508
22.201,414
26.487,351
25.213,503
77.539,896
26.64,976
12.482,500
19.668,568
16.104,659
54.686,2077
131.593,7272
103.352,18874
13.843,346
66.244,3749
23.807,927
66.178,9723
62.198,6027
36.53,3231
36.722,332
17.775,915
26.631,1271
18.505,330
50.072,782
48.045,1460
147.938,4200
25.567,1547
56.363,1042
11.084,501
56.801,3795
135.696,11159
16.08,458
22.866,397
28.558,479
26.093,321
60.386,3898
53.389,3391
29.72,8015
17.348,514
154.286,2295
77.716,373
31.7,330
25.108,1032
102.481,22393
17.939,1023
62.801,1123
187.451,8693
61.111,4889
31.864,313
26.689,413
18.861,2186
27.911,348
52.503,1852
15.089,728
34.77,329
34.264,386
47.74,1159
22.385,750
41.299,14627
23.696,913
34.565,354
21.993,660
43.213,851
294.921,8156
14.997,802
56.049,741
39.023,3214
41.178,3289
49.518,4173
